scheme_id,site,scheme_name,description,scheme_link
1,https://mahafood.gov.in/provider/%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF-%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0-mr/,A dose of happiness,"d.As per the government decision dated 04.10.2022 under Antyodaya food scheme under National Food Security Act, 2013, priority families as well as all districts of Aurangabad and Amravati divisions and 14 farmer suicide affected districts like Wardha of Nagpur division, APL Keshari farmer ration card holders will get 4 rations of 1 kg of semolina, 1 kg of chana dal, 1 kg of sugar and 1 liter of palm oil through e-pass system.The special ration kits included have been distributed at the rate of 100-per kit.Accordingly, out of 1.61 crore ration sets sanctioned, 1.61 crore ration sets have been distributed to around 100 eligible ration card holders.",https://mahafood.gov.in/scheme/%e0%a4%86%e0%a4%a8%e0%a4%82%e0%a4%a6%e0%a4%be%e0%a4%9a%e0%a4%be-%e0%a4%b6%e0%a4%bf%e0%a4%a7%e0%a4%be/
2,https://mahafood.gov.in/provider/%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF-%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0-mr/,APL Farmers,"Mahe per beneficiary per month instead of food grains to APL orange ration card holders not covered under National Food Security Act, 2013 in 14 farmer suicide affected districts namely Chhatrapati Sambhajinagar, Jalna, Nanded, Beed, Osmanabad, Parbhani, Latur, Hingoli, Amravati, Washim, Akola, Buldhana, Yavatmal and Wardha in the state from January, 2023150- The decision to implement the scheme of direct transfer of cash amount has been taken as per Government decision dated 28.02.2023.According to the provisions of the said government decision, a total of 179.87 crores for the period of January 2023 to March, 2023 and a total of 168.75 crores for the period of April, 2023 to June, 2023 have been made available to all concerned districts for the APL orange ration card holder farmers beneficiaries in 14 districts at the rate of 150 per beneficiary.Accordingly, the process of depositing the cash amount in the beneficiary's bank account is going on.",https://mahafood.gov.in/scheme/%e0%a4%8f%e0%a4%aa%e0%a5%80%e0%a4%8f%e0%a4%b2-%e0%a4%b6%e0%a5%87%e0%a4%a4%e0%a4%95%e0%a4%b0%e0%a5%80/
3,https://mahafood.gov.in/provider/%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF-%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0-mr/,Shiv Bhojan,"To provide food at discounted rates to the poor and needy people of the state, the state government dt.According to the government decision dated January 01, 2020 Shiv Bhojan Yojana dt.Started from 26.01.2020.Shiv Bhojan Thali includes 2 chapatyas, 1 bowl of vegetables, 1 bowl of Varan and 1 Mood rice.Shiv Bhojan Application has been developed to implement Shiv Bhojan Yojana.Shivbhojan thali is distributed only by using it.Before distributing shiv bhojan thala it is mandatory to take the name and photo of the beneficiary while the phone number is optional.On this app Shiv Bhojan Kendra Chalak can publish the daily menu.",https://mahafood.gov.in/scheme/%e0%a4%b6%e0%a4%bf%e0%a4%b5%e0%a4%ad%e0%a5%8b%e0%a4%9c%e0%a4%a8/
4,https://maharashtra.gov.in/Site/1604/scheme,Agriculture Scheme,"Many schemes are available by the state government for the farmers.Soil, seeds, irrigation, machinery, technology, credit, insurance, crop protection and marketing are important factors related to agriculture.If you need help with this, know about the various schemes offered by the state government.",https://www.manage.gov.in/fpoacademy/SGSchemes/maharashtra.pdf
5,https://maharashtra.gov.in/Site/1604/scheme,Agricultural Mortgage Loan Scheme,"Due to the financial need of the farmer and lack of adequate storage facilities at the local level, a large amount of agricultural produce is sold in the market during the harvesting season.Naturally, the market prices of farm produce come down.If the said agricultural produce is stored and brought for sale in the market after some time, the said agricultural produce can fetch higher market price.Therefore, the Agricultural Marketing Board has been implementing a farm collateral loan scheme since the year 1990-91 with a view to ensure that the farmers get a fair price for their produce.Under this scheme, agricultural produce such as tur, moong, urad, soybean, sunflower, gram, rice paddy, sorghum, sorghum, millet, maize, wheat, tiger nut, cashew seed, currant, betel nut and turmeric have been included and under this scheme, farmers can get up to 75 percent of the total price of the agricultural produce deposited in the warehouse of the market committee.The mortgage loan is given at 6 percent interest rate for a period of 180 days.Under this scheme, mortgage loan is also provided to the farmers on the warehouse receipt of the State or Central Wakhar Corporation.The scheme is implemented through market committees and 3 percent interest concession is given to the market committees who repay the mortgage loan within six months.",https://www.msamb.com/Schemes/PledgeFinance
6,https://maharashtra.gov.in/Site/1604/scheme,Subsidy Scheme for Export of Agricultural Produce by Sea,"As the distance of some countries is more from India, fruits and vegetables are exported by air.Air fares are high for transportation.Therefore, the goods have to be sold at a higher price in the foreign market.Export by sea option is available on this.However, if the goods are to be exported by sea, it takes more time.As the fruits and vegetables are perishable, the exporter is not willing to export by sea.Due to this, it is necessary to encourage the export of some agricultural products by sea.In order to get the maximum incentive for the export of agricultural goods from Maharashtra, a scheme was proposed through the Maharashtra State Agricultural Marketing Board to provide subsidy for international transport of agricultural goods by sea.",https://www.msamb.com/Schemes/ExportScheme
7,https://maharashtra.gov.in/Site/1604/scheme,Fruits and Grains Festival Subsidy Scheme,"The scheme is implemented to organize festivals for direct producer-to-consumer sale of seasonal fruits and grains like mangoes, oranges, mangoes, grapes.",https://www.msamb.com/Schemes/Fruitsandgrainfestival
8,https://maharashtra.gov.in/Site/1604/scheme,Road Freight Subsidy Scheme,"Maharashtra is a leader in the production of fruits and vegetables. Specially, tomatoes, pomegranates, grapes, bananas, mangoes and vegetables are produced in the state on a large scale.Since fruits and vegetables are perishable, about 20 to 30 percent of agricultural produce is lost due to improper handling and delays during transportation. Looking at the production of fruits and vegetables in Maharashtra, as domestic trade is also important along with export, it is necessary to promote direct trade of the agricultural produce produced in the state by getting a market outside the state.Farmer Cooperative Societies producing agricultural products as well as Farmers producing companies FPC.Many times, there are restrictions on sending perishable agricultural goods to foreign countries due to not being able to afford the transport costs. In order to promote the inter-state trade of agricultural goods in the state through agricultural production companies and cooperative societies of agricultural products, the issue of subsidizing the transport costs was under the consideration of the Marketing Board.",https://www.msamb.com/Schemes/RoadTrasport
9,https://aaplesarkar.mahaonline.gov.in/,Department of Revenue,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=1253
10,https://aaplesarkar.mahaonline.gov.in/,Village Development and Panchayat Raj Department,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=2476
11,https://aaplesarkar.mahaonline.gov.in/,Department of Labor,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=3580
12,https://aaplesarkar.mahaonline.gov.in/,Department of Water Resources,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=4001
13,https://aaplesarkar.mahaonline.gov.in/,Industry Department,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=2239
14,https://aaplesarkar.mahaonline.gov.in/,Student Scholarship Scheme,Teacher Registration Staff Registration Examination of trainee educational documents of teachers,https://aaplesarkar.mahaonline.gov.in/
15,https://aaplesarkar.mahaonline.gov.in/,Old Age Pension Scheme,"Registration of Tendu Traders Producers Registration of Burud Society for Bamboo Supply Compensation to be granted for cattle killed by wild animals Financial assistance to be granted to persons killed or maimed by wild animals Compensation to be granted for crop damage caused by wild animals Permission for photography in protected areas during tourism Mandal level Permission for photography in protected areas during tourism Permit for renewal of saw mill license for more than one mandalInforming the decision of the authorities After receiving the information application with all the documents to the Scheduled Tribe occupants under the Maharashtra Tree Felling Regulation Act, 1964.Registering for a pass",https://aaplesarkar.mahaonline.gov.in/
