scheme_id,scheme_name,description,department,category,eligibility,deadline
1,शेतकरी अनुदान योजना,बियाण्यांसाठी शेतकऱ्यांना आर्थिक मदत देणारी योजना,कृषी विभाग,अनुदान,जमीन धारक शेतकरी,3/31/2024
2,महिला स्वसहाय्य गट योजना,महिला स्वसहाय्य गटांना व्यवसाय सुरू करण्यासाठी कर्ज आणि अनुदान,महिला व बालकल्याण विभाग,कर्ज सबसिडी,महिला स्वसहाय्य गटाचा सदस्य,6/15/2024
3,विद्यार्थी शिष्यवृत्ती योजना,शैक्षणिक कामगिरीच्या आधारे विद्यार्थ्यांना शिष्यवृत्ती,शिक्षण विभाग,शिष्यवृत्ती,"मागास वर्गीय विद्यार्थी, ७५% पेक्षा जास्त गुण",4/30/2024
4,राज्य शासकीय नोकरी अर्ज,राज्य शासकीय सेवेसाठी अर्ज करण्याची ऑनलाइन प्रक्रिया,सामान्य प्रशासन विभाग,नोकरी,"१८-३८ वयोगट, संबंधित पात्रता",5/20/2024
5,मुफ्त आरोग्य तपासणी शिबिर,ग्रामीण भागात रहिवाशांसाठी विनामूल्य आरोग्य तपासणी शिबिर,आरोग्य विभाग,आरोग्य सेवा,सर्व नागरिक,7/10/2024
6,सवलतीचे गृहकर्ज,मध्यमवर्गीय कुटुंबांसाठी सवलतीच्या दराने गृहकर्ज,आवास विभाग,कर्ज,"महिनाया उत्पन्न ५०,००० पेक्षा कमी",12/31/2024
7,वृद्धापकाळ निवृत्ती वेतन,वृद्ध नागरिकांसाठी मासिक निवृत्ती वेतन,सामाजिक न्याय विभाग,पेन्शन,"६० वर्षांपेक्षा जास्त वय, दिव्यांगता",चालू
8,सौर ऊर्जा उपकरण अनुदान,घरांसाठी सौर ऊर्जा उपकरणांवर आर्थिक अनुदान,ऊर्जा विभाग,अनुदान,"घरमालक, ग्रामीण भागात प्राधान्य",8/14/2024
9,मोफत इंटरनेट सेवा,शाळा-महाविद्यालयांमध्ये मोफत इंटरनेट सेवा पुरवठा,तंत्रज्ञान विभाग,सुविधा,शासकीय शैक्षणिक संस्था,9/1/2024
10,कन्या प्रसूती सहाय्य योजना,गरिबी रेषेखालील कुटुंबातील प्रसूतीसाठी आर्थिक मदत,आरोग्य विभाग,आर्थिक मदत,"BPL कार्ड धारक, महिला",चालू
11,स्टार्ट-अप महाराष्ट्र,तरुण उद्योजकांसाठी स्टार्ट-अप सुरू करण्यासाठी मार्गदर्शन आणि अनुदान,उद्योग विभाग,अनुदान,"१८-४० वयोगट, व्यवसाय योजना",11/30/2024
12,मुफ्त पाठ्यपुस्तक वाटप,शासकीय शाळेतील विद्यार्थ्यांसाठी विनामूल्य पाठ्यपुस्तक वाटप,शिक्षण विभाग,शैक्षणिक साहित्य,शासकीय शाळेतील विद्यार्थी,6/5/2024
13,नळ जोडणी अभियान,प्रत्येक घरात शुद्ध पिण्याच्या पाण्याची नळ जोडणी,जलसंपदा विभाग,मूलभूत सुविधा,सर्व नागरिक,3/31/2025
14,मातृत्व अवकाश लाभ,काम करणाऱ्या महिलांसाठी मातृत्व अवकाश दरम्यान वेतन,कामगार विभाग,लाभ,सर्व कामकाजी महिला,चालू
15,मोफत कंप्युटर प्रशिक्षण,तरुणांसाठी मोफत कंप्युटर ऑपरेटर कोर्स,कौशल्य विकास विभाग,प्रशिक्षण,"१२वी पास, १८-२५ वय",10/22/2024
16,दिव्यांग व्यक्ती सहाय्य योजना,दिव्यांग व्यक्तींसाठी सहाय्य उपकरणांची खरेदी करण्यासाठी अनुदान,सामाजिक न्याय विभाग,अनुदान,४०% पेक्षा जास्त अपंगत्व प्रमाणपत्र,7/31/2024
17,ग्रामीण रस्ता दुरुस्ती,ग्रामीण भागातील रस्त्यांची दुरुस्ती आणि जीर्णोद्धार,लोकबांधणी विभाग,इन्फ्रास्ट्रक्चर,ग्रामपंचायत,चालू
18,पशुधन विकास योजना,दुग्धव्यवसायासाठी गाय-म्हशी घेण्यासाठी कर्ज,पशुसंवर्धन विभाग,कर्ज,"दुग्धव्यवसायी, शेतकरी",5/10/2024
19,आपत्ती निवारण मदत,नैसर्गिक आपत्तीग्रस्त लोकांसाठी आर्थिक मदत,आपत्ती निवारण विभाग,आर्थिक मदत,आपत्तीग्रस्त प्रदेशातील रहिवासी,चालू
