Site,Title,Description,Eligibility,Category,OfficialLink
https://mahafood.gov.in/provider/%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF-%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0-mr/,आनंदाचा शिधा,"दि. 04.10.2022 च्या शासन निर्णयानुसार राष्ट्रीय अन्नसुरक्षा अधिनियम, 2013 अंतर्गत अंत्योदय अन्न योजना, प्राधान्य कुटुंब तसेच औरंगाबाद व अमरावती विभागातील सर्व जिल्हे व नागपूर विभागातील वर्धा अशा 14 शेतकरी आत्महत्याग्रस्त जिल्ह्यांतील एपीएल (केशरी) शेतकरी शिधापत्रिकाधारकांना ई-पॅास प्रणालीद्वारे 1 किलो रवा, 1 किलो चणाडाळ, 1 किलो साखर व 1 लिटर पामतेल या 4 शिधाजिन्नसांचा समावेश असलेल्या विशेष शिधाजिन्नस संचांचे वितरण ₹ 100/-प्रति संच या दराने करण्यात आले आहे. त्यानुसार मंजूर करण्यात आलेल्या 1.61 कोटी शिधाजिन्नस संचांपैकी 1.61 कोटी शिधाजिन्नस संचांचे (सुमारे 100%) पात्र शिधापत्रिकाधारकांना वितरण करण्यात आले आहे.",,,https://mahafood.gov.in/scheme/%e0%a4%86%e0%a4%a8%e0%a4%82%e0%a4%a6%e0%a4%be%e0%a4%9a%e0%a4%be-%e0%a4%b6%e0%a4%bf%e0%a4%a7%e0%a4%be/
https://mahafood.gov.in/provider/%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF-%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0-mr/,एपीएल शेतकरी,"राज्यातील छत्रपती संभाजीनगर, जालना, नांदेड, बीड, उस्मानाबाद, परभणी, लातूर, हिंगोली, अमरावती, वाशिम, अकोला, बुलढाणा, यवतमाळ व वर्धा अशा 14 शेतकरी आत्महत्याग्रस्त जिल्ह्यांतील राष्ट्रीय अन्नसुरक्षा अधिनियम, 2013 अंतर्गत समाविष्ट न झालेल्या एपिएल (केशरी) शिधापत्रिकाधारक शेतकरी लाभार्थ्यांना माहे जानेवारी, 2023 पासून अन्नधान्याऐवजी प्रतिमाह प्रति लाभार्थी ₹150/- इतक्या रोख रकमेच्या थेट हस्तांतरणाची योजना कार्यान्वित करण्याबाबतचा निर्णय दि.28.02.2023 च्या शासन निर्णयान्वये घेण्यात आलेला आहे. सदर शासन निर्णयातील तरतूदीनुसार 14 जिल्ह्यांतील एपीएल (केशरी) शिधापत्रिकाधारक शेतकरी लाभार्थ्यांना प्रति लाभार्थी ₹ 150/- प्रमाणे माहे जानेवारी 2023 ते मार्च,2023 या कालावधीकरीता एकूण 179.87 कोटी आणि माहे एप्रिल, 2023 ते जून,2023 या कालावधीकरीता एकूण 168.75 कोटी एवढा निधी संबंधित सर्व जिल्ह्यांना उपलब्ध करून देण्यात आला आहे. त्यानुसार लाभार्थ्यांच्या बॅंक खात्यात रोख रकमा जमा करण्याची कार्यवाही सुरू आहे.",,,https://mahafood.gov.in/scheme/%e0%a4%8f%e0%a4%aa%e0%a5%80%e0%a4%8f%e0%a4%b2-%e0%a4%b6%e0%a5%87%e0%a4%a4%e0%a4%95%e0%a4%b0%e0%a5%80/
https://mahafood.gov.in/provider/%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF-%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0-mr/,शिवभोजन,"राज्यातील गरीब व गरजू जनतेला सवलतीच्या दरात भोजन उपलब्ध करून देण्यासाठी राज्य शासनाने दि. 01 जानेवारी, 2020 रोजीच्या शासन निर्णयान्वये शिवभोजन योजना दि. 26.01.2020 पासून सुरु केली आहे. शिवभोजन थाळीमध्ये 2 चपात्या, 1 वाटी भाजी, 1 वाटी वरण व 1 मूद भाताचा समावेश आहे. शिवभोजन योजना कार्यान्वित करण्यासाठी “शिवभोजन ॲप्लिकेशन” विकसित करण्यात आले आहे. त्याचा वापर करुनच शिवभोजन थाळी वितरीत करण्यात येते. शिवभोजन थाळ्या वितरीत करण्यापूर्वी लाभार्थ्याचे नाव व फोटो घेणे बंधनकारक आहे तर फोन नंबर वैकल्पिक आहे. या ॲपवर शिवभोजन केंद्र चालकास रोजचा मेन्यू प्रसिद्ध करता येतो.",,,https://mahafood.gov.in/scheme/%e0%a4%b6%e0%a4%bf%e0%a4%b5%e0%a4%ad%e0%a5%8b%e0%a4%9c%e0%a4%a8/
https://maharashtra.gov.in/Site/1604/scheme,कृषी योजना,"शेतकरी वर्गासाठी राज्य शासनातर्फे अनेक योजना उपलब्ध आहेत. माती, बियाणे, सिंचन, यंत्रे, तंत्रज्ञान, पत, विमा, पिकाला संरक्षण आणि विपणन हे शेतीशी संबंधित महत्वपूर्ण घटक आहेत. तुम्हाला याबाबत सहाय्य हवे असल्यास राज्य सरकारने देऊ केलेल्या विविध योजनांबाबत जाणून घ्या.",,,https://www.manage.gov.in/fpoacademy/SGSchemes/maharashtra.pdf
https://maharashtra.gov.in/Site/1604/scheme,राष्ट्रीय कृषी बाजार - ENAM,Commodity,,,https://enam.gov.in/web/resources/registration-guideline
https://maharashtra.gov.in/Site/1604/scheme,प्रधानमंत्री शेतकरी सन्मान निधी योजना,"Something Went Wrong, Please try again.",,,https://www.pmkisan.gov.in/RegistrationFormNew.aspx
https://maharashtra.gov.in/Site/1604/scheme,कृषी तारण कर्ज योजना,"शेतकऱ्याला असलेल्या आर्थिक गरजेपोटी तसेच स्थानिकपातळीवर शेतमाल साठवणुकीच्या पुरेशा सुविधा नसल्यामुळे शेतीमालाचे काढणी हंगामात मोठ्या प्रमाणात शेतीमाल बाजार पेठेत विक्रीसाठी येतो. साहजीकच शेतमालाचे बाजार भाव खाली येतात. सदर शेतमाल साठवणूक करुन काही कालावधीनंतर बाजारपेठेत विक्रीसाठी आणल्यास त्या शेतमालास जादा बाजार भाव मिळू शकतो. तेव्हा शेतकऱ्यांना त्याच्या शेतमालासाठी योग्य भाव मिळावा या दृष्टीकोनातून कृषि पणन मंडळ सन 1990-91 पासून शेतमाल तारण कर्ज योजना राबवित आहे. या योजनेमध्ये तूर, मूग, उडीद, सोयाबीन, सुर्यफूल, चना, भात (धान), करडई, ज्वारी, बाजरी, मका, गहू, वाघ्या घेवडा (राजमा), काजू बी, बेदाणा, सुपारी व हळद या शेतमालाचा समावेश करण्यात आलेला असुन या योजने अंतर्गत शेतकऱ्यांना बाजार समितीच्या गोदामात तारणात ठेवलेल्या शेतमालाच्या एकुण किंमतीच्या 75 टक्के पर्यंत रक्कम 6 महिने (180 दिवस) कालावधीसाठी 6 टक्के व्याज दराने तारण कर्ज देण्यात येते. या योजनेअंतर्गत राज्य अथवा केंद्रिय वखार महामंडळाच्या गोदाम पावतीवरही शेतकऱ्यांना तारण कर्ज उपलब्ध करून देण्यात येते. सदर योजना बाजार समित्यांमार्फत राबविली जात असुन सहा महिन्यांचे आत तारण कर्जाची परतफेड करणाऱ्या बाजार समित्यांना 3 टक्के व्याज सवलत देण्यात येते.",,,https://www.msamb.com/Schemes/PledgeFinance
https://maharashtra.gov.in/Site/1604/scheme,सागरी मार्गाने कृषी उत्पादनाच्या निर्यातीसाठी अनुदान योजना,काही देशांचे अंतर भारतापासुन जास्त असल्याने फळे व भाजीपाला विमानमार्गे निर्यात होतात. वाहतुकीकरिता विमानाचे भाडे जास्त असते. त्यामुळे परदेशी बाजारपेठेत माल जास्त दराने विकावा लागतो. यावर समुद्रमार्गे निर्यात करणे हा पर्याय उपलब्ध आहे. तथापि सदर माल समुद्रमार्गे निर्यात करावयाचा असल्यास वेळ जास्त लागतो. फळे व भाजीपाला नाशवंत स्वरुपाची असल्याने निर्यातदार समुद्रमार्गे निर्यात करायला तयार होत नाही. यामुळे समुद्रमार्गे काही कृषीमाल समुद्रमार्गे निर्यातीस प्रोत्साहन देणे गरजेचे आहे. महाराष्ट्रातून कृषिमालाच्या निर्यातीस जास्तीत जास्त प्रोत्साहन मिळावे यासाठी महाराष्ट्र राज्य कृषि पणन मंडळामार्फत कृषिमालाच्या निर्यातवृद्धीकरीता समुद्रमार्गे आंतरराष्ट्रीय वाहतुकीसाठी अनुदान देणेबाबतची योजना प्रस्तावित होती.,,,https://www.msamb.com/Schemes/ExportScheme
https://maharashtra.gov.in/Site/1604/scheme,फळे आणि धान्य महोत्सव अनुदान योजना,"आंबा, संत्रा, मोसंबी, द्राक्ष या सारखी हंगामी फळे तसेच धान्य यांचे थेट उत्पादक ते थेट ग्राहक विक्रीसाठी महोत्सवांचे आयोजन करण्याकरिता ही योजना राबविण्यात येते.",,,https://www.msamb.com/Schemes/Fruitsandgrainfestival
https://maharashtra.gov.in/Site/1604/scheme,रस्त्याद्वारे मालवाहतूक अनुदान योजना,"फळे-भाजीपाला उत्पादनामध्ये महाराष्ट्र अग्रेसर आहे.विशेषत:कांदा,टोमॅटो,डाळींब,द्राक्षे,केळी, आंबा तसेच भाजीपाल्याचे राज्यात मोठ्या प्रमाणावर उत्पादन घेण्यात येते. फळे-भाजीपाला नाशवंतअसल्याने अनेक वेळा अयोग्य हाताळणीमुळे तसेच वाहतूकीदरम्यान होणा-या विलंबामुळे सुमारे 20ते 30 टक्के शेतमालाचे नुकसान होते.महाराष्ट्रातील फळे व भाजीपाल्याचे उत्पादन पाहता, निर्यातीबरोबरच देशांतर्गत व्यापारही महत्त्वाचा असल्याने राज्यात उत्पादित शेतमालास परराज्यात बाजारपेठ मिळवून थेट व्यापारास चालना देणे आवश्यक आहे. शेतमाल उत्पादक शेतकरी सहकारी संस्था तसेच शेतकरी उत्पादक कंपन्यांना (एफ.पी.सी.) अनेक वेळा केवळ वाहतूक खर्च परवडत नसल्याने नाशवंत शेतमाल परराज्यात पाठविण्यास मर्यादा येतात.शेतकरी उत्पादक कंपन्या व शेतमाल उत्पादकांच्या सहकारी संस्थांमार्फत राज्यातील शेतमालाच्या आंतरराज्यीय व्यापारास चालना देण्याच्या दृष्टीने वाहतूक खर्चात अनुदान देण्याची बाब पणन मंडळाच्या विचाराधीन होती.",,,https://www.msamb.com/Schemes/RoadTrasport
