query,relevant_scheme_ids
Cash amount scheme for farmers instead of food grains,[2]
Food scheme at discounted rates,[3]
Special ration scheme for suicide affected farmers,[1]
Agricultural produce storage loan scheme,[5]
Subsidy for agricultural produce export by sea,[6]
Grant for organizing fruits and grains festivals,[7]
Road transport subsidy scheme for goods,[8]
Women self help scheme anganwadi registration,[37]
Student scholarship schemes,"[14,34,43,58]"
Old age pension scheme,[15]
Pradhan Mantri Awas Yojana,"[16,39,47,54]"
Chief Minister Employment Scheme,"[28,44,56]"
Slum Rehabilitation Authority,"[24,25]"
New tap connection scheme,"[26,28,56]"
Water supply license scheme,[55]
Business license registration and renewal,"[56,57]"
Agricultural technical diploma certificate,[43]
Soil and water sample testing,[43]
Seed sample testing service,[43]
Pesticide testing laboratory,[43]
Fishing license and registration,[41]
Animal feed testing and certification,[40]
Special school registration for disabled,[54]
Certificates and concessions for artists,"[46,58]"
Obtaining duplicate educational documents,"[59,60,61]"
No due certificate for library,[59]
E-registration for starting business,"[44,63]"
Maharashtra VAT registration,[63]
Transport department services,[20]
Industry department schemes,"[13,21]"
Housing department Mhada,[22]
Mumbai building repair board,[23]
Water resources department services,[12]
Revenue department certificates,[9]
Rural development department schemes,[10]
Labor department services,[11]
Law and justice department,[18]
Home department services,[19]
Tourism sector registration schemes,[47]
Auditorium reservation for cultural programs,[48]
Drama and tamasha permission scheme,[49]
Railway concession certificate for artists,[46]
AYUSH medical certificate services,[33]
Fire safety no objection certificate,"[30,31]"
Building map approval scheme,[30]
Electricity scheme installation permission,[51]
Industrial waste management license,[29]
Plastic waste management registration,[29]
Construction contractor registration,[62]
No objection certificate for road excavation,[62]
Farmer cooperative society registration,[17]
Money lending business license,[17]
Silk farmer registration scheme,[17]
Technical services for farmers,[17]
Market for agricultural produce,"[4,5,6,7,8]"
Farmer suicide prevention schemes,"[1,2]"
Food security schemes for poor,"[1,2,3]"
Shiv Bhojan thali online order,[3]
Ration distribution through e-pass system,[1]
National Food Security Act schemes,"[1,2]"
APL orange ration card holder schemes,"[1,2]"
Aurangabad Amravati division ration scheme,[1]
Farmer schemes in 14 districts,"[1,2]"
Cash transfer farmer scheme,[2]
Scheme as per government decision dated 04.10.2022,[1]
Scheme as per government decision dated 28.02.2023,[2]
Shiv Bhojan application usage,[3]
Ration kits at 100 rupees rate,[1]
150 rupees cash per beneficiary,[2]
Food thali with 2 chapatis vegetable varan rice,[3]
Maharashtra government food department schemes,"[1,2,3]"
Agricultural Marketing Board schemes,"[5,6,7,8]"
Schemes on Aaple Sarkar portal,"[9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]"
