query,relevant_scheme_ids
शेतकऱ्यांसाठी अन्नधान्याऐवजी रोख रक्कम योजना,[2]
सवलतीच्या दरात भोजन उपलब्ध करणारी योजना,[3]
आत्महत्याग्रस्त शेतकऱ्यांसाठी विशेष शिधा योजना,[1]
शेतमाल साठवणूक कर्ज योजना,[5]
समुद्रमार्गे कृषी उत्पादन निर्यातीस अनुदान,[6]
फळे आणि धान्य महोत्सव आयोजनासाठी अनुदान,[7]
रस्त्याद्वारे मालवाहतूक अनुदान योजना,[8]
महिला स्वयं सहाय योजना आंगणवाडी नोंदणी,[37]
विद्यार्थ्यांसाठी शिष्यवृत्ती योजना,"[14,34,43,58]"
वृद्धापकाळ पेन्शन योजना,[15]
प्रधानमंत्री आवास योजना,"[16,39,47,54]"
मुख्यमंत्री रोजगार योजना,"[28,44,56]"
झोपडपट्टी पुनर्वसन प्राधिकरण,"[24,25]"
नवीन नळ जोडणी योजना,"[26,28,56]"
पाणी पुरवठा परवाना योजना,[55]
व्यवसाय परवाना नोंदणी आणि नूतनीकरण,"[56,57]"
कृषी तांत्रिक पदविका प्रमाणपत्र,[43]
मृद आणि पाणी नमुना तपासणी,[43]
बियाणे नमुना तपासणी सेवा,[43]
किटकनाशके तपासणी प्रयोगशाळा,[43]
मासेमारी परवाना आणि नोंदणी,[41]
पशुखाद्य तपासणी आणि प्रमाणपत्र,[40]
दिव्यांगांसाठी विशेष शाळा नोंदणी,[54]
कलाकारांसाठी प्रमाणपत्र आणि सवलती,"[46,58]"
शैक्षणिक कागदपत्रांच्या नकला मिळविणे,"[59,60,61]"
ग्रंथालयासाठी ना देय प्रमाणपत्र,[59]
व्यवसाय सुरू करण्यासाठी ई-नोंदणी,"[44,63]"
महाराष्ट्र मूल्यवर्धित कर नोंदणी,[63]
वाहतूक विभागाच्या सेवा,[20]
उद्योग विभागाच्या योजना,"[13,21]"
गृहनिर्माण विभाग Mhada,[22]
मुंबई इमारत दुरुस्ती मंडळ,[23]
जलसंपदा विभाग सेवा,[12]
महसूल विभाग प्रमाणपत्र,[9]
ग्रामविकास विभाग योजना,[10]
कामगार विभाग सेवा,[11]
विधी आणि न्याय विभाग,[18]
गृह विभाग सेवा,[19]
पर्यटन क्षेत्रातील नोंदणी योजना,[47]
सांस्कृतिक कार्यक्रमांसाठी ऑडिटोरियम आरक्षण,[48]
नाटक आणि तमाशा परवानगी योजना,[49]
रेल्वे सवलत प्रमाणपत्र कलाकारांसाठी,[46]
आयुष वैद्यकीय प्रमाणपत्र सेवा,[33]
अग्निशामक ना हरकत प्रमाणपत्र,"[30,31]"
इमारत नकाशे मंजुरी योजना,[30]
वीज संचमांडणी परवानगी,[51]
औद्योगिक कचरा व्यवस्थापन परवाना,[29]
प्लास्टिक कचरा व्यवस्थापन नोंदणी,[29]
बांधकाम कंत्राटदार नोंदणी,[62]
रस्ता खोदण्यासाठी ना हरकत प्रमाणपत्र,[62]
शेतकरी सहकारी संस्था नोंदणी,[17]
सावकारी व्यवसाय परवाना,[17]
रेशीम शेतकरी नोंदणी योजना,[17]
शेतकऱ्यांना तांत्रिक सेवा पुरवठा,[17]
कृषी उत्पादनासाठी बाजारपेठ,"[4,5,6,7,8]"
शेतकरी आत्महत्या प्रतिबंध योजना,"[1,2]"
गरिबांसाठी अन्न सुरक्षा योजना,"[1,2,3]"
शिवभोजन थाळी ऑनलाइन ऑर्डर,[3]
ई-पॅास प्रणालीद्वारे शिधा वितरण,[1]
राष्ट्रीय अन्नसुरक्षा अधिनियम योजना,"[1,2]"
APL केशरी शिधापत्रिकाधारक योजना,"[1,2]"
औरंगाबाद आमरावती विभाग शिधा योजना,[1]
14 जिल्ह्यांतील शेतकरी योजना,"[1,2]"
रोख हस्तांतरण शेतकरी योजना,[2]
दि. 04.10.2022 च्या शासन निर्णयानुसार योजना,[1]
दि. 28.02.2023 च्या शासन निर्णयानुसार योजना,[2]
शिवभोजन ॲप्लिकेशन वापर,[3]
100 रुपये दरात शिधा संच,[1]
150 रुपये प्रति लाभार्थी रोख रक्कम,[2]
भोजन थाळी 2 चपात्या भाजी वरण भात,[3]
महाराष्ट्र शासन अन्न विभाग योजना,"[1,2,3]"
कृषी पणन मंडळ योजना,"[5,6,7,8]"
आपलसरकार पोर्टलवरील योजना,"[9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]"
