query,relevant_scheme_ids
शेतकऱ्यांना थेट रोख मदत योजना,[2]
शेतकऱ्यांना थेट रोख मदत योजना माहिती,[2]
शेतकऱ्यांना थेट रोख मदत योजना अर्ज प्रक्रिया,[2]
शेतकरी आत्महत्या प्रतिबंध योजना,"[1,2]"
शेतकरी आत्महत्या प्रतिबंध योजना माहिती,"[1,2]"
गरीब कुटुंबांना अन्नधान्य वितरण योजना,"[1,2]"
गरीबांना मोफत धान्य योजना,"[1,2]"
सवलतीच्या दरात भोजन योजना,[3]
शिवभोजन थाळी योजना,[3]
विद्यार्थ्यांसाठी शिष्यवृत्ती योजना,"[14,34,43,58]"
शिक्षणासाठी आर्थिक मदत योजना,"[14,34,43,58]"
ज्येष्ठ नागरिक पेन्शन योजना,[15]
म्हाताऱ्या लोकांसाठी मासिक पेन्शन,[15]
घरकुल बांधकामासाठी शासन मदत,"[16,39,47,54]"
घर बांधण्यासाठी सरकारी योजना,"[16,39,47,54]"
स्वयंरोजगार कर्ज योजना,"[28,44,56]"
तरुणांना व्यवसाय कर्ज योजना,"[28,44,56]"
झोपडपट्टी पुनर्वसन योजना,"[24,25]"
स्लम पुनर्वसन योजना,"[24,25]"
पाणी जोडणी अर्ज प्रक्रिया,"[26,55]"
नवीन पाणी कनेक्शन कसे घ्यावे,"[26,55]"
व्यवसाय परवाना नोंदणी,"[56,57,63]"
दुकान सुरू करण्यासाठी परवाना,"[56,57,63]"
शेतकरी तांत्रिक सल्ला सेवा,[17]
शेती मार्गदर्शन सेवा,[17]
मासेमारी परवाना प्रक्रिया,[41]
मच्छीमार नोंदणी,[41]
दिव्यांग विद्यार्थ्यांसाठी शाळा सुविधा,[54]
विशेष शाळा नोंदणी,[54]
कलावंत प्रमाणपत्र सवलत योजना,"[46,58]"
कलाकारांसाठी सवलत प्रमाणपत्र,"[46,58]"
शैक्षणिक प्रमाणपत्रांच्या प्रती मिळवा,"[59,60,61]"
मार्कशीट प्रत कशी मिळवावी,"[59,60,61]"
औद्योगिक कचरा व्यवस्थापन परवाना,[29]
फॅक्टरी कचरा परवाना,[29]
इमारत नकाशा मंजुरी प्रक्रिया,[30]
बांधकाम नकाशा मंजुरी,[30]
वीज जोडणी परवानगी,[51]
वीज कनेक्शन अर्ज,[51]
शेतमाल विक्री बाजारपेठ सुविधा,"[4,5,6,7,8]"
कृषी बाजार समिती योजना,"[4,5,6,7,8]"
